"","Composer","nPVI_Entire","Nine_Eight","pitch_correlation","pitch_entropy","parallel_motion","similar_motion","oblique_motion","t1_1","t1_2","t1_3","t1_4","t1_5","t1_6","t1_7","t2_1","t2_2","t2_3","t2_4","t2_5","t2_6","t2_7","t3_1","t3_2","t3_3","t3_4","t3_5","t3_6","t3_7","t4_1","t4_2","t4_3","t4_4","t4_5","t4_6","t4_7","t5_1","t5_2","t5_3","t5_4","t5_5","t5_6","t5_7","t6_1","t6_2","t6_3","t6_4","t6_5","t6_6","t6_7","t7_1","t7_2","t7_3","t7_4","t7_5","t7_6","t7_7","rising_passing","downward_passing","upper_neighbor","lower_neighbor","double_neighbor_ul","double_neighbor_lu","upper_echappee","lower_echappee","ascending_short_nota_cambiata","descending_short_nota_cambiata","ascending_long_nota_cambiata","descending_long_nota_cambiata","rising_anticipation","descending_anticipation","reverse_ascending_nota_cambiata","reverse_descending_nota_cambiata","reverse_upper_echappee","reverse_lower_echappee","ternary_suspension","binary_suspension","ternary_suspension_agent","binary_suspension_agent","fake_suspension_step_up","fake_suspension_step_down","resolution_against_suspension_dissonance","suspension_repeated_note","suspension_missing_agent_approached_step_up","suspension_missing_agent_approached_step_down","dissonant_third_quarter_rising_pt","dissonant_third_quarter_falling_pt","dissonant_third_quarter_un","dissonant_third_quarter_ln","appoggiature_approached_from_below","appoggiature_approached_from_above","ascending_accented_pt","descending_accented_pt","accented_upper_neighbor","descending_lower_neighbor","chanson_idiom","unclassified_2_or7","unclassified_4","total","mvmnt"
"643","attribution_data_updated.csv:Palestrina_Giovanni Perluigi da",105.759,0,0.563585047,5.77259,0.115,14,58.6,10.373,4.357,0.83,3.112,1.867,1.452,3.942,4.357,2.282,3.112,0,0.622,0,0.207,0.207,2.905,1.037,4.149,1.037,0.83,0,3.527,0,4.772,3.112,2.49,0.415,1.037,3.32,0,1.037,4.149,5.394,3.32,0.415,0.207,0.415,0,0.622,5.602,0.83,3.32,3.527,0,0,0.207,0.622,3.942,1.037,25,27,5,27,6,11,10,16,7,12,1,2,7,16,2,14,2,0,4,29,2,23,1,8,1,15,11,8,0,0,3,3,4,14,0,7,2,1,8,0,0,507,"agnus"
"644","attribution_data_updated.csv:Palestrina_Giovanni Perluigi da",114.482,0,0.600391256,5.81994,0.121827411,13.75,59.22,4.433,4.68,0.985,1.232,1.724,0.739,7.635,4.68,0.739,4.187,0.246,1.478,0,0.739,1.478,6.404,0.739,4.187,0.246,0.985,0,0.246,0,4.926,0.985,5.419,0,0.246,3.695,0.493,2.217,5.172,3.941,4.926,0,0,0,0,0.246,5.911,0,2.463,5.172,0,0.985,0,3.202,1.97,0.246,27,29,4,20,5,11,9,17,6,11,1,3,8,15,3,14,2,0,4,33,2,28,1,6,1,13,11,9,0,1,3,4,4,13,0,5,2,1,8,0,0,403,"agnus"
"645","attribution_data_updated.csv:Palestrina_Giovanni Perluigi da",128.673,0,0.765552237,5.90649,0.096385542,17.74,59.87,3.59,4.872,0.256,0.256,0.513,3.077,5.897,5.385,1.282,5.641,0.513,1.282,0,1.282,1.795,5.641,0.513,2.821,1.026,0.256,0,0.256,0.769,3.333,0,5.385,0,0,1.026,0.256,2.821,5.897,5.385,5.897,0,0.769,0.769,0,0.256,6.667,0.513,3.59,5.641,0.769,0,0,0.256,3.59,0.256,15,15,5,21,5,10,11,15,7,11,1,3,7,16,3,13,2,1,4,32,2,25,1,6,1,15,11,9,0,0,3,3,4,13,0,10,2,1,7,0,1,386,"agnus"
"646","attribution_data_updated.csv:Palestrina_Giovanni Perluigi da",123.713,2,0.804987959,5.85074,0.172588832,14.23,57.94,4.376,4.376,2.188,1.094,1.751,1.094,4.814,4.814,0.656,4.595,0,0,0,0.219,1.313,5.033,1.094,5.908,0.438,0.438,1.094,0.656,0,5.033,3.282,5.252,2.188,0.438,2.188,0,1.094,5.47,1.751,4.595,0.219,0.438,0,0.219,0.656,5.033,1.094,4.376,5.689,0,0.875,0.219,1.313,2.188,0.438,28,18,4,16,7,9,11,16,6,10,1,2,7,15,3,14,2,0,4,32,2,27,1,7,2,13,10,9,0,0,3,3,4,14,0,10,2,1,12,0,0,464,"agnus"
"647","attribution_data_updated.csv:Palestrina_Giovanni Perluigi da",121.121,3,0.553847131,6.01021,0.138996139,12.89,62.65,4.187,2.899,0.483,0.644,0.483,1.61,5.475,4.026,3.382,2.254,1.449,1.288,0.322,0.483,1.449,4.026,1.932,3.221,0.644,0.161,0,0.322,1.771,4.67,2.576,4.348,0.483,0,2.093,0.322,1.61,4.992,6.441,5.797,0,0.966,0.483,0.322,0.644,6.602,1.288,4.026,3.865,0,0.161,0,0.161,5.314,0.322,15,41,4,38,5,9,10,16,6,10,1,2,8,16,3,13,2,0,4,28,2,24,2,7,1,13,11,8,1,0,3,3,4,14,0,8,2,2,6,0,0,612,"agnus"
"648","attribution_data_updated.csv:Palestrina_Giovanni Perluigi da",126.994,1,0.725273697,6.14427,0.310483871,15.29,60.77,2.454,4.141,0.46,1.074,1.074,0.153,5.828,5.521,2.454,3.374,0.307,1.074,0.153,1.227,0.46,5.368,1.074,3.067,0.153,0,0.613,1.074,0.307,4.141,1.38,5.061,0.307,0.307,1.074,0.92,0.92,6.288,5.061,4.294,1.84,0.307,0.153,0,0.613,6.288,0.613,3.374,5.368,0.307,0.767,0.153,1.38,5.521,2.147,32,40,5,19,6,10,10,16,6,10,1,3,7,16,3,14,2,0,4,37,2,31,1,6,1,15,11,9,0,0,3,3,5,14,0,6,2,2,7,0,0,644,"agnus"
"649","attribution_data_updated.csv:Palestrina_Giovanni Perluigi da",130.919,4,0.530134077,6.14995,0.127272727,13.65,64.01,4.575,5.556,0,1.307,0.817,1.634,6.046,7.516,1.797,5.229,0.163,0.327,0.163,0.163,1.797,5.065,2.288,4.902,0.327,0.98,0,1.144,0.98,5.556,1.797,4.248,0.163,0,0.654,0.327,2.124,3.758,1.961,4.739,0,0.327,1.307,0.163,1.144,5.392,0.817,2.941,4.575,0,0.49,0,0.49,3.758,0.49,17,21,5,26,5,9,9,19,6,12,1,11,7,17,3,13,2,0,4,57,2,51,2,8,1,14,11,8,0,0,4,3,4,13,0,11,2,1,12,0,0,612,"agnus"
"650","attribution_data_updated.csv:Palestrina_Giovanni Perluigi da",128.587,1,0.800979471,6.15634,0.086330935,11.05,65.91,5,5,0.385,0.192,1.346,0,5.192,5,1.154,4.038,1.731,0.577,0.192,0.385,0.769,5.192,1.346,3.077,0.769,0.192,0,0.769,1.538,4.808,1.731,4.231,0.192,1.154,1.154,0.577,0,6.923,4.423,5.192,1.538,0.385,0.769,0,0.577,5.577,0.577,3.077,3.269,0,0.769,0,1.731,5.577,1.923,22,15,4,27,6,10,9,16,6,10,1,6,7,16,4,13,2,0,4,37,2,33,1,6,1,14,11,9,0,0,3,3,4,14,1,14,2,1,10,1,0,504,"agnus"
"651","attribution_data_updated.csv:Palestrina_Giovanni Perluigi da",128.619,1,0.423686965,6.37354,0.155844156,10.93,67.77,5.487,5.35,1.235,0.96,3.155,0.137,4.938,6.036,1.372,4.801,0.412,1.372,0,1.235,1.509,6.722,2.195,3.292,0.274,0,0.137,0.823,0.412,3.018,0.96,3.704,0.412,0.412,1.783,0.96,1.509,3.704,7.682,3.567,1.097,0.412,0,0,0.137,3.155,0.274,2.881,4.527,0.412,1.097,0.549,2.058,2.606,1.235,54,39,4,27,6,10,9,16,7,12,1,2,9,16,3,13,3,0,4,36,2,31,1,6,1,13,11,9,0,1,3,3,4,13,0,9,2,1,6,0,0,695,"agnus"
"652","attribution_data_updated.csv:Palestrina_Giovanni Perluigi da",109.289,2,0.723522805,5.31745,0.173913043,14.95,63.99,6.116,4.628,0.165,1.157,1.157,2.479,4.132,5.124,0,3.967,0.165,0.661,0,0,0.826,4.628,1.157,5.95,0.661,0,0,0.826,1.157,5.62,2.645,5.62,0.165,0.165,1.983,0,2.314,4.959,3.471,5.455,0,0.661,0,0,0.992,6.281,2.314,3.802,4.793,0,0,0.165,0.496,2.81,0.331,19,27,5,35,6,10,10,16,6,11,2,8,7,15,4,13,2,0,4,41,2,37,1,6,1,14,10,9,0,0,3,3,5,13,0,7,3,1,12,1,0,600,"agnus"
"653","attribution_data_updated.csv:Palestrina_Giovanni Perluigi da",115.057,2,0.672391765,5.86261,0.218579235,15.52,60.53,4.054,4.279,0.45,2.027,1.577,0.45,6.532,5.631,1.802,3.604,0.225,2.027,0,1.126,0.901,4.279,1.351,3.153,0,0.225,0.225,0.45,1.351,3.378,1.351,4.955,0,0.901,1.802,1.577,0.45,4.73,6.757,5.18,0,0,0,0,0.676,5.405,0.45,3.829,6.081,0.225,1.126,0.225,0.901,4.279,0,24,18,5,15,6,10,9,17,6,10,1,2,7,16,3,14,2,0,4,34,3,29,1,6,1,15,11,8,0,0,3,3,4,13,1,10,2,1,6,0,0,449,"agnus"
"654","attribution_data_updated.csv:Palestrina_Giovanni Perluigi da",116.09,1,0.620495377,6.12168,0.190909091,14.88,61.24,4.412,4.832,0.84,1.261,0.63,0.84,5.252,5.252,0.21,3.782,0,0,0,0.21,1.05,3.782,1.05,5.882,0.42,1.261,1.05,1.05,0.42,6.303,3.782,5.882,0.63,0.42,1.681,0,0.84,6.092,1.261,4.412,0.42,0.42,0,0.42,0.42,6.092,0.63,4.622,5.042,0.21,0.63,0.21,1.05,4.412,0.63,29,27,4,18,6,9,10,17,7,10,1,2,8,17,3,13,2,0,4,33,2,29,1,6,1,15,11,8,0,0,3,3,4,12,1,8,2,1,10,0,0,479,"agnus"
"655","attribution_data_updated.csv:Palestrina_Giovanni Perluigi da",128.126,1,0.809795113,5.92934,0.090909091,14.77,62.49,6.299,7.087,0,0.394,0.591,1.969,5.118,4.331,0.787,7.087,0.197,0.591,0.787,0.394,3.15,4.134,0.591,5.118,0.394,0,0,0.197,0.394,4.724,2.165,7.677,0,0,0.787,0.984,1.378,5.315,2.362,4.331,0,0.394,0.197,0,1.181,5.118,0.394,3.937,5.512,0,0,0,0,3.937,0,53,20,4,17,5,10,9,16,7,10,1,1,7,17,4,14,2,0,4,38,2,33,1,6,1,14,11,8,0,0,3,3,4,14,0,6,2,1,6,0,0,510,"agnus"
"656","attribution_data_updated.csv:Palestrina_Giovanni Perluigi da",142.383,0,0.591747881,5.87919,0.163934426,16.44,56.48,3.414,4.217,0.803,1.606,2.811,1.004,5.422,4.819,1.807,4.618,0.602,1.205,0.201,0.803,1.606,5.422,1.807,2.811,1.406,0.402,0,1.004,0.602,4.418,2.008,4.016,0,0.201,2.209,0.602,1.406,4.618,4.418,5.221,0,1.205,0.201,0,0.201,5.823,1.004,3.614,5.02,0,0.201,0,0.602,4.217,0.402,19,20,4,16,6,10,9,17,6,12,1,6,7,17,3,13,2,0,4,35,2,30,1,7,1,15,11,9,0,0,3,3,4,14,0,8,2,1,6,0,0,496,"agnus"
"657","attribution_data_updated.csv:Palestrina_Giovanni Perluigi da",118.043,0,0.744725243,6.00969,0.168,12.08,59.6,6.696,3.125,1.339,1.339,1.637,1.786,3.125,3.274,5.06,3.72,0.149,0.446,1.042,1.042,1.637,3.571,1.19,4.018,1.488,1.488,0,0.893,0.446,4.167,1.488,4.613,0.298,0,2.381,0.446,2.53,3.869,7.143,3.72,0.149,0.744,0.893,0,0.893,4.911,3.423,2.381,3.274,0.298,0.446,0,0.595,1.637,1.19,46,25,4,15,6,11,9,16,6,11,1,2,7,17,3,14,2,0,4,28,2,23,1,7,1,14,11,9,0,0,3,3,4,14,0,9,2,1,8,0,0,693,"agnus"
"658","attribution_data_updated.csv:Palestrina_Giovanni Perluigi da",138.626,1,0.595047877,5.96823,0.158974359,14.27,62.64,3.855,5.215,0.454,0.454,1.361,0.454,4.989,4.989,2.041,4.308,0.227,1.587,0,2.721,0.907,6.349,2.268,4.535,0.68,1.134,0.227,0.907,0.454,3.401,0,6.122,0.227,0,1.587,1.587,2.494,4.762,5.896,1.587,0.454,0,0,0,0.907,3.628,0.227,2.948,4.762,0.227,2.268,0,0.227,4.082,2.494,28,23,4,16,6,10,9,16,6,10,1,2,8,16,2,14,2,0,4,33,2,28,1,6,1,15,11,9,0,0,3,3,4,14,0,10,2,1,6,0,0,437,"agnus"
"659","attribution_data_updated.csv:Palestrina_Giovanni Perluigi da",119.139,0,0.738720385,6.06735,0.232227488,21.43,56.05,4.375,5,1.25,1.042,1.667,1.042,4.792,3.542,0,5.208,0,0.417,0,0.208,2.292,4.583,1.25,6.458,0.208,0.208,0,1.25,0,4.792,1.458,7.708,0.208,0,1.042,0,1.25,4.167,2.5,8.542,0.208,0.833,0,1.25,1.25,5.208,0.417,4.583,5.208,0,0.417,0,1.042,3.125,0,26,23,4,17,5,9,10,16,7,10,1,1,8,15,3,13,2,0,4,29,2,24,1,6,1,14,10,10,0,0,3,3,4,13,0,9,2,1,8,0,0,476,"agnus"
"660","attribution_data_updated.csv:Palestrina_Giovanni Perluigi da",114.324,2,0.812217778,5.81489,0.074829932,13.22,61.06,4.286,5.714,0.357,2.143,0,1.071,3.929,7.143,1.429,4.643,1.786,1.429,0,0.357,1.429,5.714,0.714,3.214,0.357,0,0,0,1.786,5.357,3.214,3.214,0.357,0.714,2.857,0,0.357,3.571,2.857,4.643,1.786,0.357,0.357,0,0.357,7.143,0,4.286,2.857,0.714,0,0,1.786,5.714,0,7,16,4,24,5,10,9,15,7,11,2,1,8,19,3,14,2,1,4,24,2,21,1,8,1,12,11,9,0,0,3,3,4,13,0,5,2,1,6,1,0,286,"agnus"
"661","attribution_data_updated.csv:Palestrina_Giovanni Perluigi da",121.832,0,0.695623358,6.04253,0.112554113,10.6,63.6,7.453,4.348,0.207,2.484,1.449,0.207,5.383,5.59,1.863,3.313,0.621,0.828,0.414,0,0.207,5.176,1.242,3.727,0.621,0.414,0,1.242,0,5.59,3.313,3.727,0.207,0.414,2.484,0.621,0.828,4.348,7.246,2.899,0.414,0,1.035,0,0,4.762,0.828,3.313,4.348,0,0,0.207,0.621,4.762,1.242,26,16,4,28,6,9,9,17,7,10,1,2,7,18,3,12,2,0,4,42,2,39,1,8,1,15,10,9,0,0,3,3,5,12,1,6,2,1,10,0,0,471,"agnus"
"662","attribution_data_updated.csv:Palestrina_Giovanni Perluigi da",122.815,1,0.707404116,6.15895,0.174603175,14.13,62.66,7.178,4.405,0.326,2.61,2.447,0.979,6.199,6.199,0.816,3.263,1.142,0.816,0,0.326,0.816,6.036,1.468,3.1,0,0.653,0,1.468,0.979,4.731,2.447,3.426,1.468,0.326,2.936,0,1.468,4.894,3.752,3.426,0.816,0.163,0,0,0.979,6.688,0.979,0.816,4.894,0,0.653,0.163,0.816,2.121,0.816,12,21,4,28,5,11,10,16,6,12,7,3,9,16,5,13,2,0,4,56,3,52,2,7,1,15,11,8,0,0,3,4,4,13,2,12,2,1,7,3,0,593,"agnus"
